interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
3495,17098,"huey ' s hip pizza sells two sizes of square pizzas : a small pizza that measures 6 inches on a side and costs $ 10 , and a large pizza that measures 9 inches on a side and costs $ 20 . if two friends go to huey ' s with $ 30 apiece , how many more square inches of pizza can they buy if they pool their money than if they each purchase pizza alone ?",geometry,6,$$ \begin{aligned} & 6 \times 6=36 \\ & 9 \times 9=81 \end{aligned} $$ a person can buy $$ 36+81=117 $$ two people can buy $$ 81 \times 3=243 \\ 243-117 = 126 $$,Expression and Operations with Symbols,No,0
3496,17037,"if bill can buy 3 pairs of jeans and 2 shirts for $ 69 or 2 pairs of jeans and 3 shirts for $ 86 , how much does one shirt cost ?",general,6,\begin{aligned} & \text { Let } t \text {-shire }=x \quad \text { jean }=y \\ & \begin{cases}2 x+3 y=69 & 4 x+6 y=138 \\ 3 x+2 y=86 & 9 x+6 y=258\end{cases} \\ & 5 x=120 \\ & x=24 \\ & \end{aligned},Expression and Operations with Symbols,No,1
3497,16725,"if 4 men can colour 48 m long cloth in 2 days , then 6 men can colour 36 m long cloth in ?",physics,6,$$ \begin{aligned} & 48 \div 2=24 \\ & 24 \div 4=6 \\ & 6 \times 6=36 \end{aligned} $$  A: I day,Workload-Time-Speed,No,1
3498,2644,a candidate got 35 % of the votes polled and he lost to his rival by 2430 votes . how many votes were cast ?,gain,6,2430 \leq 0.3=8100,Ratio Calculation,No,1
3499,2498,"cost is expressed by the formula tb ^ 4 . if b is doubled , the new cost q is what percent of the original cost ?",general,6,\begin{aligned} & (2 b)^4=16 b^4 \\ & A: 1600 \% \end{aligned},Expression and Operations with Symbols && Ratio Calculation,No,1
3500,18114,rahul is 30 years older than his daughter mary . in 20 years rahul will be twice as old as mary . what is mary current age .,general,6,rahul $x+30$ mary $x$ $$ \begin{gathered} x+50=2(x+20) \\ x=10 \end{gathered} $$,Expression and Operations with Symbols,No,1
3501,2945,a boat having a length 3 m and breadth 2 m is floating on a lake . the boat sinks by 1 cm when a man gets on it . the mass of the man is :,physics,6,\begin{aligned} & 300 \times 200 \times 1=60000 \\ & 60000 \div 1000=60 \end{aligned},Volume Calculation,No,1
3502,15939,you enter a weight loss challenge game and manage to lose 11 % of your body weight . for the final weigh in you are forced to wear clothes that add 2 % to your weight . what percentage of weight loss is measured at the final weigh in ?,gain,6,\begin{aligned} &\begin{aligned} & x \times 0.89 \times 1.02 \\ = & 0.9078 \end{aligned}\\ &A: 9.22 \% \end{aligned},Ratio Calculation,No,1
3503,2555,"on a sum of money , simple interest for 2 years is rs 660 and compound interest is rs 696.30 , the rate of interest being the same in both cases .",gain,6,$$ \begin{aligned} & 36.3 \therefore 330=0.11=11 \% \\ & 330 \div 0.11=3000 \\ & A=\text { sum }=3000 \\ & \text { interest late }=11 \% \end{aligned} $$ $A$ :,Simple Interest && Compound Interest,No,1
3504,18365,"worker a takes 12 hours to do a job . worker b takes 15 hours to do the same job . how long it take both a & b , working together but independently , to do the same job ?",physics,6,\begin{array}{rl} 12 a=15 b \\a=\frac{5}{4} b \\ 15 b \div \frac{9}{4} b \\  = 15 \times \frac{4}{9}=\frac{20}{3} \end{array},Workload-Time-Speed,No,1
3505,17705,9 men went to a hotel . 8 of them spent 3 each over their meals and the ninth spent 5 more than the average expenditure of all the 9 . the total money spent by all of them was,general,6,\begin{aligned} x-\frac{24+x}{9} & =5 \\ 9 x-24-x & =45 \\ 8 x & =61 \\ x & =\frac{69}{8} \quad A: 3=\frac{5}{8} \end{aligned},Arithmetic Mean,No,1
3506,2615,"find the area of trapezium whose parallel sides are 20 cm and 18 cm long , and the distance between them is 30 cm ?",physics,6,\frac{(20+18) \times 30}{2}=510,Area Calculation,No,1
3507,2977,"the area of a square field 3136 sq m , if the length of cost of drawing barbed wire 3 m around the field at the rate of rs . 2.50 per meter . two gates of 1 m width each are to be left for entrance . what is the total cost ?",physics,6,\begin{aligned} & \sqrt{3136}=56 \\ & 56 \times 4-2=222 \\ & 222 \div 3=74 \\ & 74 \times 2.5=185 \end{aligned},Area Calculation && Perimeter Calculation,No,0
3508,17765,a person crosses a 600 m long street in 2 minutes . what is his speed in km per hour ?,physics,6,0.6 \times 30=18,Distance-Time-Speed && Unit Conversion,No,1
3509,2976,express 35 mps in kmph ?,physics,6,\begin{aligned} & 35 \times 3600 \geqslant 1000 \\ = & 126 \end{aligned},Unit Conversion,No,1
3510,15938,if k ^ 2 is divisible by 240 what is the least possible value of integer k ?,general,6,\begin{aligned} &240=2^4 \times 3 \times 5\\ &\begin{aligned} k & =2^2 \times 3 \times 5 \\ & =60 \end{aligned} \end{aligned},Prime Factorization,No,1
3511,16300,"two heavily loaded sixteen - wheeler transport trucks are 1025 kilometers apart , sitting at two rest stops on opposite sides of the same highway . driver a begins heading down the highway driving at an average speed of 90 kilometers per hour . exactly one hour later , driver b starts down the highway toward driver a , maintaining an average speed of 80 kilometers per hour . how many kilometers farther than driver b , will driver a have driven when they meet and pass each other on the highway ?",general,6,\begin{aligned} & 1625-90=935 \\ & 935 \div 190=5.5 \\ & 10 \times 5.5=55 \\ & 55+90=145 \end{aligned},Distance-Time-Speed && Relative Speed,No,1
3512,16330,a large tanker can be filled by two pipes a and b in 60 and 40 minutes respectively . how many minutes will it take to fill the tanker from empty state if b is used for half the time and a and b fill it together for the other half ?,physics,6,\begin{aligned} & b 0 a=40 b \quad a=\frac{2}{3} b \\ & b \times x+\frac{5}{3} b \cdot x=40 b \\ & \frac{8}{3} b \cdot x=40 b \\ & x=40 \times \frac{3}{8}=15 \\ & \text { A: 30min } \end{aligned},Workload-Time-Speed,No,1
3513,17445,the slant height of a right circular cone is 10 m and its height is 8 m . find the area of its curved surface .,geometry,6,\begin{gathered} 20 \pi \times \frac{x}{310}=12 \pi \\ x=216 \\ 10 \times 10 \times \pi \times \frac{3}{5}=60 \pi \end{gathered},Area Calculation,No,1
3514,16237,if a man lost 1 % by selling oranges at the rate of 16 a rupee at how many a rupee must he sell them to gain 44 % ?,gain,6,\begin{aligned} & \frac{16 \cdot x}{x}=0.01 \\ & x=1600-100 x \\ 101 x & =1600 \\ x & =\frac{1600}{101} \\ \frac{1600}{101} \times \frac{144}{100} & \\ & =\frac{2304}{101} \\ & =22.81 \end{aligned},Profit && Loss,Loss,0
3515,15298,110 is increased by 50 % . find the final number .,gain,6,110 \times 1.5=165,Ratio Calculation,No,1
3516,16429,at what rate percent on simple interest will rs . 650 amount to rs . 950 in 5 years ?,gain,6,\begin{aligned} & 300 \div 5=60 \\ & 60 \div 650 \div \frac{65}{6} \equiv 9.23 \% \end{aligned},Simple Interest,No,1
3517,17708,john bought 9.25 m of cloth for $ 444 . find the cost price per metre .,physics,6,444 \div 9.25=48,Basic Math Operations,No,1
3518,16921,"crazy eddie has a key chain factory . eddie managed to decrease the cost of manufacturing his key chains while keeping the same selling price , and thus increased the profit from the sale of each key chain from 25 % of the selling price to 50 % of the selling price . if the manufacturing cost is now $ 50 , what was it before the decrease ?",general,6,$$ \begin{aligned} \frac{x-50}{x} & =0.5 \\ 0.5 x & =x-50 \\ x & =100 \end{aligned} $$ $A: 75$,Profit,No,1
3519,16915,"of the goose eggs laid at a certain pond , 2 / 3 hatched and 3 / 4 of the geese that hatched from those eggs survived the first month . of the geese that survived the first month , 3 / 5 did not survive the first year . if 110 geese survived the first year and if no more than one goose hatched from each egg , how many goose eggs were laid at the pond ?",general,6,\begin{aligned} & 110 \div \frac{2}{5} \div \frac{3}{4} \div \frac{2}{3} \\ & =110 \times \frac{5}{2} \times \frac{4}{3} \times \frac{3}{2} \\ & =550 \end{aligned},Ratio Calculation,No,1
3520,16070,"working simultaneously and independently at an identical constant rate , 4 machines of a certain type can produce a total of x units of product p in 6 days . how many of these machines , working simultaneously and independently at this constant rate , can produce a total of 2 x units of product p in 3 days ?",general,6,$$ \begin{aligned} & x=4 a \times b=24 a \\ & 48 a \div 3=16 a \end{aligned} $$ $A_{i 16}$,Workload-Time-Speed,No,1
3521,2878,"excluding stoppages , the speed of a bus is 84 kmph and including stoppages , it is 70 kmph . for how many minutes does the bus stop per hour ?",physics,6,\begin{aligned} & \frac{a}{84}=\operatorname{time} \\ & \frac{a}{\frac{a}{84}+x}=70 \\ & a=\frac{70 a}{84}+70 x \\ \frac{14}{84} a & =70 x \\ x & =\frac{14}{84 \times 90} a \\ & =\frac{1}{420} a \end{aligned},Distance-Time-Speed && Unit Conversion,Distance-Time-Speed,0
3522,16476,"running at the same constant rate , 4 identical machines can produce a total of 16 bottles per minute . at this rate , how many bottles could 8 such machines produce in 3 minutes ?",gain,6,\begin{aligned} & 4 \rightarrow 16 \\ & 8 \longrightarrow 32 / \mathrm{min} \\ & A=96 \end{aligned},Workload-Time-Speed,No,1
3523,2662,if the a radio is sold for rs 490 and sold for rs 465.50 . find loss % .,gain,6,\frac{465.5-490}{490}=-5 \%,Loss,No,0
3524,18123,"line m lies in the xy - plane . the y - intercept of line m is - 2 , and line m passes through the midpoint of the line segment whose endpoints are ( 2 , 8 ) and ( 8 , - 2 ) . what is the slope of line m ?",general,6,m=\frac{-2-2}{8-2}=\frac{-4}{6}=\frac{-2}{3},Graphs of Cartesian Coordinates and Linear Equations,Graphs of Cartesian Coordinates and Linear Equations,0
3525,2553,a man speaks truth 3 out of 4 times . he throws a die and reports it to be a 6 . what is the probability of it being a 6 ?,probability,6,\frac{\frac{1}{6} \times \frac{3}{4}}{\frac{1}{6} \times \frac{3}{4}+\frac{5}{6} \times \frac{1}{4}}=\frac{\frac{3}{24}}{\frac{8}{24}}=\frac{3}{8},Probability,No,1
3526,16530,"a rectangular grass field is 60 m * 55 m , it has a path of 2.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 2 per sq m ?",geometry,6,\begin{aligned} & 60 \times 55-55 \times 50 \\ & =550 \\ & 550 \times 2=1100 \end{aligned},Area Calculation,No,0
3527,2547,a number increased by 20 % gives 600 . the number is,gain,6,600 \pm 1.2=500,Ratio Calculation,No,1
3528,15441,"a car traveled 462 miles per tankful of gasoline on the highway and 336 miles per tankful of gasoline in the city . if the car traveled 12 fewer miles per gallon in the city than on the highway , how many miles per gallon did the car travel in the city ?",physics,6,\begin{aligned} & 462-336=126 \\ & 126 \div 12=10.5  \\ $ = 3360 \div 10.5 = 32 \end{aligned},Distance-Time-Speed,No,1
3529,2765,"20 litres of mixture contains 40 % alcohol and the rest water . if 8 litres of water be mixed with it , the percentage of alcohol in the new mixture would be ?",gain,6,\begin{aligned} & 20 \times 0.4=8 \\ & \frac{8}{28}=\frac{2}{7}=28.5 \% \end{aligned},Mixed Solution Concentration,No,1
3530,2859,"the original price of a suit is $ 200 . the price increased 20 % , and after this increase , the store published a 20 % off coupon for a one - day sale . given that the consumers who used the coupon on sale day were getting 20 % off the increased price , how much did these consumers pay for the suit ?",general,6,\begin{aligned} 200 \times 1.2 \times 0.8 & =200 \times 0.96 \\ & =192 \end{aligned},Discount Problem && Ratio Calculation,No,1
3531,17779,"the average salary of a person for the months of january , february , march and april is rs . 8000 and that for the months february , march , april and may is rs . 8700 . if his salary for the month of may is rs . 6500 , find his salary for the month of january ?",general,6,\begin{aligned} & 8000 \times 4=32000 \\ & 8700 \times 4=34800 \\ & 6500-2800=3760 \end{aligned},Arithmetic Mean,No,1
3532,17811,"a project scheduled to be carried out over a single fiscal year has a budget of $ 12600 , divided into 12 equal monthly allocations . at the end of the sixth month of that fiscal year , the total amount actually spent on the project was $ 6580 . by how much was the project over its budget ?",general,6,\begin{aligned} & 12600 \div 12=1050 \\ & 1050 x 6=6300 \\ & 6580-6300=280 \end{aligned},Basic Math Operations,No,1
3533,17423,a large box contains 17 small boxes and each small box contains 26 chocolate bars . how many chocolate bars are in the large box ?,general,6,17 \times 26=442,Basic Math Operations,No,1
3534,18005,"a bowl was filled with 10 ounces of water , and 0.008 ounce of the water evaporated each day during a 50 - day period . what percent of the original amount of water evaporated during this period ?",gain,6,\begin{aligned} & 0.608 \times 59=0.4 \\ & \frac{0.4}{10}=4 \% \end{aligned},Ratio Calculation,No,1
3535,16093,"a committee is reviewing a total of 30 x black - and - white films and 6 y color films for a festival . if the committee selects y / x % of the black - and - white films and all of the color films , what fraction of the selected films are in color ?",general,6,\begin{aligned} & b / w=30 x \\ & \text { color: by } \\ 30 x  \frac{y}{x}: 100=0.3 y \\ \frac{b y}{6 y+0.3 y}=\frac{20}{21} \end{aligned},Ratio Calculation,No,1
3536,2535,"if a mixture is 5  9 alcohol by volume and 4  9 water by volume , what is the ratio of the volume of alcohol to the volume of water in this mixture ?",general,6,\frac{5}{9}: \frac{4}{9}=5: 4,Ratio Calculation,No,1
3537,2867,rs 50000 is divided into two parts one part is given to a person with 10 % interest and another part is given to a person with 20 % interest . at the end of first year he gets profit 8000 find money given by 10 % ?,gain,6,Let $10 \%$ interest $=x$ $$ \begin{aligned} & x \times 0.1+0.2(50000-x)=8000 \\ & -0.1 x+10000=8000 \\ & x=20000 \end{aligned} $$,Simple Interest,No,1
3538,16186,5 times a number equals one 100 . the number is,general,6,100 \pm 5=20,Expression and Operations with Symbols,No,1
3539,17215,a and b can complete a work in 30 days and 15 day . they started doing the work together but after 5 days b had to leave and a alone completed the remaining work . the whole work was completed in ?,physics,6,$$ \begin{aligned} & 30 a=15 b \quad b=2 a \\ & 2 a \times 5+a \times 5=15 a \\ & 15 a \div a=15 \end{aligned} $$ $A:20$ days,Workload-Time-Speed,No,1
3540,15620,"a boat can travel with aspeed of 30 km / hr in still water . if the speed of the stream is 5 km / hr , find the time taken by the boat to go 70 km downstream .",physics,6,70 \pm(30+5)=2,Distance-Time-Speed && Relative Speed,No,1
3541,2940,32.32 / 2000 is equal to :,general,6,32.32 \div 2000 = 0.01606,Basic Math Operations,No,0
3542,16039,a certain debt will be paid in 52 installments from january 1 to december 31 of a certain year . each of the first 12 payments is to be $ 410 ; each of the remaining payments is to be $ 65 more than each of the first 12 payments . what is the average ( arithmetic mean ) payment that will be made on the debt for the year ?,general,6,\begin{aligned} & 410 \times 12+475 \times 40 \\ &= 23920 \\ & 23920 \div 52=460 \end{aligned},Arithmetic Mean,No,1
